151; Gold; 72; 1,21; 68%; 2408
152; Radiant; 62; 1,75; 59%; 73
153; Radiant; 15; 1,60; 11%; 2868
154; Diamond; 19; 0,98; 6%; 1694
155; Ascendant; 24; 0,58; 38%; 652
156; Platinum; 15; 0,77; 78%; 1936
157; Radiant; 54; 0,48; 64%; 702
158; Radiant; 73; 0,78; 5%; 1666
159; Radiant; 13; 1,16; 65%; 975
160; Immortal; 38; 0,18; 59%; 1460
161; Bronze; 84; 1,96; 13%; 2081
162; Silver; 38; 1,90; 43%; 2729
163; Gold; 72; 0,45; 25%; 2981
164; Ascendant; 76; 1,74; 99%; 1316
165; Diamond; 15; 0,46; 31%; 751
166; Bronze; 59; 0,92; 15%; 986
167; Diamond; 71; 1,71; 74%; 1437
168; Immortal; 15; 1,75; 32%; 1593
169; Bronze; 28; 1,71; 71%; 2303
170; Immortal; 12; 1,65; 62%; 425
171; Immortal; 67; 1,76; 95%; 1045
172; Immortal; 62; 1,77; 20%; 2443
173; Radiant; 44; 0,26; 70%; 364
174; Gold; 79; 1,81; 31%; 2231
175; Silver; 55; 0,72; 66%; 2367
176; Platinum; 31; 1,70; 9%; 2223
177; Bronze; 69; 0,10; 23%; 2784
178; Gold; 72; 0,67; 66%; 1930
179; Gold; 84; 1,03; 9%; 2413
180; Diamond; 88; 1,65; 37%; 869
181; Diamond; 42; 0,11; 79%; 1277
182; Silver; 72; 1,61; 19%; 1517
183; Bronze; 72; 1,41; 90%; 1645
184; Bronze; 88; 0,57; 55%; 2263
185; Ascendant; 33; 0,12; 81%; 914
186; Bronze; 11; 0,25; 11%; 1145
187; Iron; 52; 1,04; 32%; 17
188; Immortal; 62; 1,72; 80%; 1690
189; Radiant; 62; 0,76; 87%; 1418
190; Iron; 90; 0,31; 96%; 2295
191; Diamond; 65; 0,21; 76%; 280
192; Ascendant; 87; 0,06; 67%; 155
193; Radiant; 31; 0,05; 98%; 2698
194; Diamond; 76; 0,56; 89%; 515
195; Diamond; 24; 0,03; 90%; 602
196; Iron; 70; 0,83; 51%; 379
197; Immortal; 56; 1,51; 29%; 2341
198; Radiant; 77; 0,95; 56%; 1693
199; Bronze; 85; 0,24; 63%; 627
200; Silver; 84; 1,20; 54%; 1245
201; Iron; 11; 0,55; 19%; 2354
202; Silver; 90; 1,15; 18%; 2685
203; Diamond; 73; 0,79; 18%; 410
204; Iron; 25; 0,37; 14%; 1959
205; Radiant; 33; 0,91; 83%; 661
206; Gold; 33; 1,19; 23%; 104
207; Gold; 67; 0,51; 52%; 2354
208; Gold; 75; 0,08; 40%; 2591
209; Immortal; 68; 0,73; 71%; 1157
210; Silver; 80; 0,06; 76%; 2094
211; Radiant; 90; 1,37; 27%; 2750
212; Immortal; 77; 0,60; 75%; 2383
213; Iron; 35; 0,99; 98%; 2478
214; Radiant; 27; 0,93; 100%; 2844
215; Gold; 70; 1,25; 15%; 739
216; Iron; 84; 1,97; 96%; 1719
217; Immortal; 27; 0,55; 66%; 244
218; Immortal; 61; 1,78; 92%; 939
219; Platinum; 64; 1,97; 38%; 97
220; Platinum; 58; 0,19; 92%; 1649
221; Diamond; 26; 0,10; 43%; 577
222; Silver; 58; 0,65; 42%; 382
223; Immortal; 24; 0,12; 7%; 2733
224; Platinum; 75; 0,67; 44%; 1823
225; Bronze; 78; 0,61; 66%; 1541
226; Ascendant; 60; 0,71; 46%; 632
227; Ascendant; 52; 0,16; 5%; 1378
228; Ascendant; 75; 1,39; 22%; 159
229; Diamond; 22; 0,77; 60%; 2050
230; Radiant; 49; 1,98; 46%; 1243
231; Ascendant; 17; 1,94; 20%; 2644
232; Diamond; 14; 0,16; 91%; 2836
233; Radiant; 47; 0,01; 46%; 218
234; Bronze; 69; 1,70; 77%; 440
235; Radiant; 30; 0,85; 68%; 2563
236; Bronze; 26; 0,77; 35%; 19
237; Bronze; 39; 0,23; 33%; 1190
238; Ascendant; 20; 0,94; 69%; 718
239; Radiant; 46; 1,18; 6%; 1593
240; Gold; 19; 0,91; 38%; 960
241; Iron; 44; 1,10; 87%; 1788
242; Gold; 43; 0,47; 16%; 2791
243; Platinum; 66; 0,90; 75%; 138
244; Immortal; 37; 0,81; 82%; 908
245; Ascendant; 80; 0,27; 26%; 2120
246; Ascendant; 75; 1,66; 29%; 1964
247; Iron; 32; 1,51; 52%; 1451
248; Immortal; 81; 0,20; 48%; 164
249; Silver; 78; 1,91; 76%; 2397
250; Silver; 41; 0,42; 45%; 2393
251; Immortal; 65; 1,44; 65%; 522
252; Radiant; 76; 0,23; 9%; 1476
253; Platinum; 25; 1,14; 57%; 78
254; Gold; 80; 0,83; 76%; 1903
255; Diamond; 50; 1,61; 73%; 2944
256; Bronze; 15; 0,61; 10%; 2848
257; Radiant; 15; 0,37; 43%; 1395
258; Iron; 79; 1,96; 95%; 1623
259; Iron; 48; 0,81; 23%; 2413
260; Gold; 66; 0,24; 68%; 714
261; Diamond; 34; 1,91; 24%; 17
262; Ascendant; 35; 1,71; 28%; 745
263; Platinum; 84; 0,17; 94%; 1281
264; Diamond; 84; 1,67; 92%; 2387
265; Iron; 40; 1,21; 24%; 372
266; Ascendant; 25; 0,33; 61%; 420
267; Bronze; 70; 0,81; 30%; 2569
268; Ascendant; 35; 1,32; 70%; 2240
269; Ascendant; 36; 0,24; 46%; 1990
270; Radiant; 44; 1,52; 74%; 2288
271; Silver; 11; 1,59; 95%; 39
272; Ascendant; 62; 1,73; 47%; 2029
273; Bronze; 73; 1,22; 98%; 2954
274; Immortal; 58; 1,96; 84%; 618
275; Ascendant; 10; 0,12; 93%; 2014
276; Radiant; 30; 1,51; 28%; 274
277; Iron; 62; 1,62; 54%; 1429
278; Platinum; 51; 0,76; 48%; 2840
279; Gold; 21; 1,84; 65%; 1996
280; Platinum; 32; 1,88; 42%; 2971
281; Ascendant; 87; 1,83; 63%; 1264
282; Ascendant; 60; 1,59; 97%; 2927
283; Diamond; 17; 0,73; 62%; 1630
284; Silver; 38; 0,56; 21%; 1290
285; Ascendant; 37; 0,11; 47%; 2031
286; Bronze; 50; 0,68; 91%; 2505
287; Gold; 45; 0,35; 40%; 2541
288; Immortal; 66; 0,37; 77%; 2757
289; Immortal; 79; 1,55; 88%; 2525
290; Immortal; 35; 0,70; 14%; 1422
291; Platinum; 33; 1,96; 60%; 139
292; Diamond; 90; 0,87; 17%; 661
293; Immortal; 16; 0,11; 43%; 511
294; Iron; 82; 0,39; 37%; 691
295; Silver; 59; 0,50; 52%; 1715
296; Bronze; 76; 0,08; 95%; 1504
297; Ascendant; 29; 1,83; 91%; 269
298; Bronze; 23; 1,22; 31%; 2571
299; Diamond; 43; 1,05; 19%; 2723
300; Gold; 41; 0,62; 48%; 2887
301; Iron; 40; 1,66; 43%; 2083
302; Diamond; 64; 1,14; 50%; 931
303; Bronze; 59; 1,12; 5%; 1883
304; Diamond; 87; 0,44; 59%; 574
305; Immortal; 24; 1,47; 48%; 917
306; Iron; 10; 0,80; 26%; 2683
307; Radiant; 31; 0,36; 24%; 1750
308; Gold; 51; 1,57; 44%; 2040
309; Ascendant; 57; 0,80; 80%; 2331
310; Iron; 32; 1,87; 52%; 2460
311; Gold; 43; 1,44; 62%; 2526
312; Iron; 83; 1,47; 95%; 585
313; Silver; 44; 1,17; 95%; 1543
314; Bronze; 55; 1,21; 98%; 894
315; Platinum; 36; 0,57; 57%; 1429
316; Diamond; 86; 0,27; 60%; 108
317; Radiant; 44; 0,50; 42%; 1220
318; Radiant; 49; 0,76; 54%; 1375
319; Platinum; 63; 0,62; 36%; 2665
320; Diamond; 86; 0,35; 66%; 1095
321; Immortal; 81; 0,16; 57%; 2718
322; Bronze; 57; 1,41; 81%; 2179
323; Radiant; 76; 0,31; 67%; 1656
324; Gold; 37; 1,63; 51%; 117
325; Bronze; 10; 0,15; 79%; 835
326; Radiant; 50; 1,54; 24%; 1583
327; Immortal; 25; 0,48; 56%; 1790
328; Immortal; 77; 0,05; 92%; 2041
329; Ascendant; 65; 1,49; 16%; 1617
330; Diamond; 89; 1,83; 35%; 1509
331; Diamond; 13; 1,84; 61%; 26
332; Ascendant; 18; 1,32; 68%; 514
333; Iron; 79; 0,11; 35%; 721
334; Immortal; 49; 1,49; 30%; 113
335; Diamond; 78; 0,45; 35%; 2343
336; Diamond; 43; 1,84; 45%; 1596
337; Radiant; 53; 1,18; 43%; 1819
338; Gold; 35; 1,12; 86%; 1114
339; Gold; 55; 0,77; 88%; 748
340; Bronze; 81; 1,32; 74%; 443
341; Immortal; 64; 1,51; 100%; 842
342; Iron; 48; 0,80; 46%; 536
343; Gold; 13; 1,86; 89%; 833
344; Bronze; 83; 0,24; 66%; 2982
345; Gold; 34; 1,55; 89%; 450
346; Silver; 79; 0,93; 57%; 900
347; Platinum; 45; 1,77; 50%; 1942
348; Gold; 54; 1,68; 10%; 1938
349; Gold; 37; 0,51; 54%; 2866
350; Silver; 28; 1,66; 10%; 2125
351; Platinum; 29; 1,58; 37%; 427
352; Silver; 80; 1,97; 50%; 1454
353; Immortal; 30; 1,83; 44%; 2549
354; Gold; 71; 0,82; 24%; 56
355; Iron; 27; 0,94; 51%; 257
356; Radiant; 61; 0,76; 19%; 703
357; Gold; 59; 1,04; 42%; 2576
358; Radiant; 41; 1,52; 6%; 1056
359; Ascendant; 64; 0,72; 10%; 2963
360; Ascendant; 72; 1,31; 93%; 2649
361; Iron; 37; 0,96; 88%; 1731
362; Gold; 65; 1,26; 37%; 268
363; Platinum; 62; 1,01; 37%; 1507
364; Ascendant; 27; 1,09; 8%; 217
365; Iron; 53; 1,83; 46%; 2717
366; Immortal; 69; 0,17; 34%; 210
367; Platinum; 24; 0,85; 46%; 1222
368; Immortal; 18; 1,01; 35%; 990
369; Iron; 63; 0,14; 67%; 293
370; Platinum; 78; 0,59; 18%; 2656
371; Ascendant; 52; 0,15; 83%; 2155
372; Gold; 64; 0,63; 92%; 442
373; Radiant; 69; 0,84; 97%; 1798
374; Diamond; 25; 1,83; 53%; 2574
375; Iron; 76; 0,67; 6%; 1689
376; Platinum; 16; 0,63; 81%; 1931
377; Platinum; 58; 1,86; 52%; 1073
378; Diamond; 43; 1,34; 100%; 2784
379; Radiant; 20; 1,75; 15%; 1034
380; Ascendant; 55; 1,65; 24%; 2482
381; Ascendant; 53; 1,73; 42%; 314
382; Gold; 20; 1,57; 66%; 1087
383; Platinum; 81; 1,08; 64%; 1114
384; Diamond; 69; 1,02; 28%; 2581
385; Immortal; 71; 1,77; 45%; 837
386; Silver; 46; 0,13; 33%; 1414
387; Immortal; 43; 0,79; 83%; 34
388; Radiant; 56; 1,38; 98%; 233
389; Iron; 87; 0,44; 16%; 2705
390; Silver; 64; 1,00; 10%; 2253
391; Radiant; 13; 0,27; 74%; 1850
392; Platinum; 80; 1,92; 43%; 2411
393; Bronze; 60; 1,61; 26%; 1822
394; Radiant; 18; 0,83; 83%; 2322
395; Radiant; 90; 1,17; 55%; 1161
396; Iron; 30; 1,06; 28%; 110
397; Diamond; 41; 1,08; 89%; 2985
398; Diamond; 24; 1,73; 49%; 332
399; Diamond; 37; 1,95; 65%; 533
400; Immortal; 70; 0,58; 86%; 1008
401; Bronze; 42; 0,95; 34%; 1485
402; Platinum; 77; 1,82; 71%; 1192
403; Radiant; 35; 0,20; 35%; 205
404; Immortal; 72; 0,25; 64%; 2857
405; Immortal; 49; 1,62; 59%; 2421
406; Gold; 33; 1,50; 35%; 31
407; Gold; 42; 0,75; 10%; 561
408; Bronze; 81; 0,70; 88%; 1364
409; Silver; 27; 1,62; 42%; 2501
410; Ascendant; 24; 0,38; 17%; 924
411; Platinum; 19; 1,77; 97%; 2949
412; Platinum; 53; 0,39; 72%; 2911
413; Gold; 81; 1,25; 37%; 2252
414; Gold; 55; 1,18; 29%; 1953
415; Silver; 47; 0,32; 92%; 80
416; Platinum; 64; 1,19; 10%; 1903
417; Silver; 84; 1,65; 36%; 1487
418; Radiant; 87; 0,22; 47%; 422
419; Diamond; 66; 0,40; 44%; 2164
420; Immortal; 73; 0,44; 62%; 241
421; Diamond; 20; 1,93; 16%; 1885
422; Ascendant; 86; 0,72; 85%; 1806
423; Platinum; 43; 1,94; 27%; 1966
424; Immortal; 33; 1,42; 15%; 299
425; Silver; 16; 1,95; 58%; 401
426; Immortal; 12; 1,07; 68%; 222
427; Silver; 89; 1,15; 39%; 996
428; Ascendant; 83; 1,31; 44%; 1578
429; Silver; 85; 1,05; 70%; 1502
430; Immortal; 14; 0,83; 65%; 1660
431; Iron; 10; 0,13; 85%; 2465
432; Radiant; 37; 0,92; 37%; 133
433; Iron; 62; 0,92; 29%; 1155
434; Ascendant; 21; 0,15; 23%; 2047
435; Diamond; 88; 1,97; 5%; 2798
436; Platinum; 81; 1,48; 71%; 1448
437; Silver; 22; 1,19; 67%; 2683
438; Immortal; 57; 1,49; 47%; 2015
439; Iron; 54; 0,62; 96%; 1988
440; Diamond; 85; 0,28; 74%; 337
441; Ascendant; 62; 0,43; 70%; 1730
442; Gold; 48; 0,28; 85%; 1278
443; Ascendant; 82; 1,15; 50%; 2382
444; Bronze; 34; 0,20; 99%; 1807
445; Radiant; 49; 1,67; 27%; 2309
446; Diamond; 43; 0,20; 28%; 2127
447; Silver; 58; 1,66; 83%; 2101
448; Bronze; 71; 0,34; 48%; 2778
449; Gold; 55; 0,09; 18%; 122
450; Radiant; 84; 1,44; 33%; 72
451; Diamond; 51; 0,29; 42%; 584
452; Radiant; 10; 1,82; 64%; 2217
453; Immortal; 87; 1,28; 93%; 1546
454; Gold; 10; 1,12; 37%; 2409
455; Platinum; 76; 1,14; 62%; 1747
456; Diamond; 32; 1,35; 96%; 1343
457; Radiant; 44; 0,55; 89%; 1171
458; Immortal; 50; 1,37; 84%; 250
459; Ascendant; 29; 1,40; 6%; 1187
460; Immortal; 38; 1,24; 42%; 2015
461; Ascendant; 15; 1,74; 5%; 1446
462; Silver; 87; 1,54; 68%; 101
463; Platinum; 89; 0,77; 43%; 384
464; Iron; 83; 0,97; 89%; 2314
465; Iron; 29; 1,18; 98%; 1842
466; Iron; 37; 1,12; 79%; 2138
467; Iron; 11; 0,16; 9%; 885
468; Ascendant; 62; 1,19; 12%; 1305
469; Silver; 73; 0,75; 33%; 1977
470; Iron; 90; 0,51; 31%; 721
471; Silver; 45; 0,91; 80%; 1017
472; Bronze; 79; 0,40; 36%; 2760
473; Gold; 27; 1,99; 33%; 93
474; Iron; 47; 0,30; 56%; 1675
475; Silver; 31; 0,81; 40%; 91
476; Immortal; 63; 0,86; 80%; 167
477; Silver; 40; 0,43; 33%; 1790
478; Immortal; 25; 1,39; 11%; 2528
479; Ascendant; 18; 1,91; 93%; 487
480; Gold; 56; 0,86; 33%; 2551
481; Bronze; 52; 0,60; 7%; 2542
482; Platinum; 73; 0,40; 71%; 1584
483; Diamond; 34; 1,40; 5%; 1179
484; Gold; 68; 0,59; 6%; 165
485; Bronze; 59; 1,08; 96%; 837
486; Iron; 50; 0,37; 47%; 642
487; Silver; 64; 0,79; 74%; 1347
488; Platinum; 84; 1,14; 85%; 881
489; Gold; 78; 0,91; 52%; 1543
490; Radiant; 32; 1,97; 98%; 2294
491; Radiant; 63; 0,17; 34%; 2683
492; Radiant; 58; 1,72; 58%; 2913
493; Radiant; 34; 0,69; 11%; 1232
494; Gold; 57; 0,15; 7%; 1131
495; Bronze; 87; 0,66; 40%; 2353
496; Platinum; 85; 0,43; 25%; 1934
497; Iron; 44; 1,01; 13%; 13
498; Bronze; 58; 0,05; 35%; 1532
499; Ascendant; 51; 1,53; 39%; 2872
500; Platinum; 68; 0,93; 40%; 510
501; Immortal; 90; 1,84; 19%; 399
502; Immortal; 78; 1,08; 50%; 2666
503; Radiant; 34; 1,79; 76%; 2877
504; Immortal; 81; 0,98; 20%; 2029
505; Radiant; 79; 1,29; 24%; 905
506; Bronze; 19; 1,24; 85%; 2563
507; Immortal; 10; 0,17; 12%; 1574
508; Iron; 17; 0,91; 66%; 1661
509; Radiant; 86; 0,64; 60%; 1258
510; Ascendant; 26; 0,97; 47%; 507
511; Ascendant; 62; 1,19; 63%; 403
512; Gold; 47; 0,39; 94%; 2760
513; Silver; 55; 1,34; 61%; 724
514; Silver; 14; 0,08; 47%; 1450
515; Immortal; 26; 0,97; 16%; 2893
516; Bronze; 35; 1,06; 45%; 2465
517; Silver; 86; 0,28; 20%; 835
518; Iron; 55; 0,46; 84%; 528
519; Radiant; 69; 1,30; 19%; 1459
520; Bronze; 85; 0,14; 49%; 1719
521; Radiant; 76; 1,27; 16%; 148
522; Gold; 63; 0,30; 78%; 991
523; Gold; 75; 0,69; 54%; 506
524; Bronze; 45; 0,33; 55%; 1186
525; Diamond; 80; 0,00; 67%; 714
526; Silver; 77; 0,79; 82%; 146
527; Platinum; 65; 0,79; 55%; 1520
528; Ascendant; 78; 1,01; 19%; 409
529; Diamond; 86; 1,62; 53%; 2457
530; Silver; 10; 1,77; 99%; 571
531; Radiant; 24; 0,46; 76%; 1108
532; Immortal; 68; 0,03; 52%; 2929
533; Immortal; 63; 1,54; 51%; 1455
534; Ascendant; 80; 1,53; 26%; 1056
535; Gold; 10; 1,90; 70%; 2147
536; Gold; 58; 0,22; 96%; 1635
537; Iron; 10; 1,12; 90%; 1853
538; Diamond; 43; 1,77; 82%; 611
539; Silver; 34; 1,91; 53%; 462
540; Gold; 56; 1,49; 65%; 668
541; Platinum; 83; 0,51; 94%; 286
542; Immortal; 30; 0,35; 81%; 2089
543; Platinum; 21; 1,38; 44%; 1264
544; Gold; 63; 0,28; 95%; 2964
545; Bronze; 44; 0,88; 60%; 525
546; Immortal; 40; 0,67; 14%; 721
547; Platinum; 18; 0,36; 44%; 2357
548; Iron; 43; 1,28; 20%; 262
549; Platinum; 79; 0,06; 50%; 2803
550; Ascendant; 73; 0,38; 24%; 1062
551; Radiant; 49; 1,95; 13%; 2610
552; Silver; 15; 1,87; 28%; 1687
553; Bronze; 49; 0,10; 30%; 2687
554; Immortal; 42; 0,52; 77%; 1365
555; Iron; 48; 1,15; 88%; 251
556; Platinum; 52; 0,87; 60%; 1287
557; Silver; 67; 1,88; 6%; 92
558; Ascendant; 37; 1,89; 100%; 105
559; Diamond; 69; 1,32; 55%; 970
560; Gold; 80; 1,98; 52%; 929
561; Radiant; 90; 0,35; 35%; 2600
562; Diamond; 82; 0,04; 39%; 1233
563; Diamond; 11; 0,78; 78%; 59
564; Platinum; 83; 1,92; 30%; 2102
565; Iron; 74; 1,96; 58%; 1983
566; Diamond; 63; 0,49; 67%; 2667
567; Silver; 69; 1,28; 50%; 2908
568; Bronze; 37; 1,83; 98%; 2832
569; Diamond; 54; 0,61; 10%; 2318
570; Platinum; 88; 1,16; 73%; 1184
571; Platinum; 32; 1,38; 55%; 902
572; Ascendant; 64; 1,01; 95%; 2700
573; Bronze; 34; 0,21; 85%; 2011
574; Platinum; 17; 0,10; 19%; 726
575; Silver; 85; 0,00; 12%; 143
576; Ascendant; 49; 0,61; 85%; 1560
577; Ascendant; 19; 0,28; 32%; 783
578; Silver; 18; 0,73; 58%; 1295
579; Immortal; 44; 1,29; 75%; 2827
580; Diamond; 78; 1,59; 21%; 2536
581; Silver; 19; 0,76; 99%; 1808
582; Immortal; 10; 1,53; 87%; 1193
583; Radiant; 34; 0,24; 40%; 1109
584; Radiant; 20; 0,06; 8%; 546
585; Diamond; 40; 1,25; 67%; 71
586; Bronze; 75; 1,34; 96%; 1442
587; Ascendant; 86; 0,09; 21%; 2569
588; Silver; 49; 0,95; 21%; 597
589; Gold; 79; 1,23; 35%; 566
590; Platinum; 23; 0,08; 53%; 407
591; Ascendant; 82; 1,30; 51%; 872
592; Immortal; 45; 0,35; 98%; 1532
593; Platinum; 78; 0,84; 32%; 2386
594; Immortal; 20; 0,96; 47%; 732
595; Iron; 35; 1,08; 9%; 2424
596; Diamond; 70; 1,44; 37%; 220
597; Ascendant; 30; 0,57; 81%; 1100
598; Ascendant; 86; 0,36; 12%; 1267
599; Gold; 75; 1,70; 46%; 416
600; Iron; 51; 1,59; 56%; 2405
601; Immortal; 38; 0,43; 67%; 2114
602; Silver; 48; 1,81; 45%; 374
603; Radiant; 47; 1,39; 98%; 1064
604; Silver; 37; 0,01; 79%; 2381
605; Platinum; 65; 0,60; 51%; 1544
606; Diamond; 34; 0,97; 74%; 2533
607; Radiant; 30; 0,52; 81%; 502
608; Immortal; 73; 1,69; 84%; 64
609; Immortal; 42; 1,02; 78%; 172
610; Ascendant; 11; 0,95; 39%; 2696
611; Radiant; 51; 0,08; 79%; 852
612; Ascendant; 26; 0,94; 29%; 1191
613; Gold; 61; 1,05; 7%; 1819
614; Diamond; 61; 0,27; 75%; 2390
615; Silver; 24; 1,79; 55%; 1782
616; Bronze; 11; 1,37; 25%; 2090
617; Silver; 37; 0,76; 81%; 373
618; Silver; 26; 1,70; 49%; 1614
619; Ascendant; 84; 1,56; 54%; 632
620; Ascendant; 30; 1,35; 14%; 1240
621; Ascendant; 79; 1,35; 79%; 813
622; Diamond; 61; 1,69; 87%; 1552
623; Ascendant; 28; 1,95; 81%; 1865
