1; Crusader; 29; 10; Mid; Rikki
107; Ancient; 87; 6; Mid; Invoker
108; Ancient; 78; 25; Carry; Weaver
109; Archon; 12; 21; Mid; Wraith king
110; Crusader; 60; 5; Mid; Invoker
111; Archon; 41; 20; Support; Bristleback
112; Guardian; 40; 27; Mid; Witch doctor
113; Legend; 50; 15; Carry; Pudge
114; Guardian; 66; 10; Carry; Jakiro
115; Guardian; 50; 10; Mid; Warlock
116; Crusader; 11; 22; Support; Weaver
117; Guardian; 43; 26; Support; Crystall maiden
118; Archon; 90; 25; Mid; Arc warden
119; Archon; 11; 9; Support; Techies
120; Legend; 84; 13; Hardlane; Rikki
121; Crusader; 30; 30; Mid; Weaver
122; Archon; 36; 7; Semi-support; Phantom lancer
123; Archon; 23; 27; Mid; Pudge
124; Guardian; 40; 0; Carry; Monkey king
125; Crusader; 42; 3; Hardlane; Bristleback
126; Archon; 18; 21; Carry; Warlock
127; Guardian; 46; 21; Semi-support; Bristleback
128; Ancient; 30; 22; Mid; Monkey king
129; Herald; 63; 20; Mid; Monkey king
130; Ancient; 53; 16; Semi-support; Invoker
131; Archon; 41; 29; Support; Jakiro
132; Guardian; 68; 5; Mid; Phantom lancer
133; Archon; 16; 16; Support; Rikki
134; Legend; 90; 18; Support; Phantom lancer
135; Guardian; 66; 2; Carry; Jakiro
136; Crusader; 42; 6; Hardlane; Pudge
137; Herald; 28; 12; Mid; Rikki
138; Legend; 35; 21; Semi-support; Phantom lancer
139; Ancient; 62; 24; Mid; Invoker
140; Guardian; 70; 26; Mid; Invoker
141; Ancient; 35; 13; Carry; Weaver
142; Legend; 26; 28; Semi-support; Phantom lancer
143; Ancient; 83; 3; Support; Wraith king
144; Guardian; 81; 7; Support; Rikki
145; Herald; 35; 21; Mid; Phantom lancer
146; Herald; 30; 5; Semi-support; Witch doctor
147; Legend; 81; 1; Semi-support; Invoker
148; Herald; 49; 20; Support; Monkey king
149; Guardian; 43; 28; Semi-support; Phantom lancer
150; Herald; 52; 0; Support; Axe
151; Herald; 34; 18; Mid; Pudge
152; Ancient; 20; 4; Hardlane; Phantom lancer
153; Ancient; 44; 16; Semi-support; Crystall maiden
154; Herald; 61; 23; Carry; Techies
155; Herald; 10; 19; Support; Witch doctor
156; Guardian; 39; 7; Mid; Arc warden
157; Guardian; 18; 3; Semi-support; Rikki
158; Crusader; 56; 23; Semi-support; Invoker
159; Herald; 65; 24; Support; Crystall maiden
160; Legend; 24; 9; Semi-support; Warlock
161; Guardian; 17; 13; Mid; Weaver
162; Archon; 29; 9; Support; Pudge
163; Guardian; 90; 6; Mid; Witch doctor
164; Herald; 72; 4; Semi-support; Jakiro
165; Herald; 57; 12; Hardlane; Warlock
166; Herald; 81; 27; Mid; Monkey king
167; Ancient; 38; 29; Hardlane; Axe
168; Archon; 68; 27; Semi-support; Weaver
169; Legend; 27; 7; Carry; Pudge
170; Archon; 40; 30; Mid; Warlock
171; Guardian; 20; 8; Hardlane; Axe
172; Ancient; 25; 26; Hardlane; Techies
173; Ancient; 83; 1; Hardlane; Invoker
174; Crusader; 77; 2; Hardlane; Techies
175; Guardian; 60; 11; Carry; Jakiro
176; Crusader; 89; 16; Hardlane; Warlock
177; Guardian; 70; 17; Mid; Techies
178; Herald; 27; 23; Hardlane; Warlock
179; Ancient; 75; 26; Hardlane; Weaver
180; Crusader; 49; 28; Carry; Crystall maiden
181; Archon; 81; 5; Carry; Arc warden
182; Herald; 78; 2; Support; Crystall maiden
183; Guardian; 27; 3; Semi-support; Arc warden
184; Archon; 57; 30; Mid; Invoker
185; Legend; 34; 1; Hardlane; Wraith king
186; Ancient; 48; 19; Carry; Rikki
187; Ancient; 67; 7; Semi-support; Weaver
188; Archon; 65; 8; Semi-support; Phantom lancer
189; Crusader; 40; 30; Carry; Axe
190; Guardian; 11; 8; Semi-support; Weaver
191; Archon; 34; 6; Semi-support; Axe
192; Ancient; 66; 13; Support; Crystall maiden
193; Guardian; 61; 25; Carry; Bristleback
194; Archon; 25; 7; Hardlane; Bristleback
195; Herald; 26; 19; Support; Invoker
196; Crusader; 19; 6; Support; Bristleback
197; Guardian; 86; 7; Hardlane; Crystall maiden
198; Ancient; 42; 18; Semi-support; Techies
199; Ancient; 60; 12; Hardlane; Bristleback
200; Ancient; 23; 16; Semi-support; Rikki
201; Crusader; 76; 25; Hardlane; Phantom lancer
202; Archon; 56; 3; Carry; Pudge
203; Crusader; 13; 0; Support; Warlock
204; Herald; 71; 5; Support; Weaver
205; Archon; 18; 8; Mid; Crystall maiden
206; Archon; 58; 25; Hardlane; Warlock
207; Ancient; 18; 0; Semi-support; Jakiro
208; Crusader; 60; 13; Mid; Rikki
209; Archon; 59; 19; Semi-support; Phantom lancer
210; Crusader; 41; 1; Mid; Axe
211; Crusader; 59; 5; Support; Jakiro
212; Legend; 64; 6; Mid; Monkey king
213; Herald; 51; 9; Hardlane; Crystall maiden
214; Guardian; 72; 8; Hardlane; Monkey king
215; Legend; 75; 11; Carry; Pudge
216; Crusader; 90; 2; Hardlane; Invoker
217; Crusader; 59; 17; Carry; Pudge
218; Archon; 20; 24; Mid; Invoker
219; Legend; 73; 4; Semi-support; Invoker
220; Legend; 35; 18; Hardlane; Warlock
221; Crusader; 44; 8; Carry; Arc warden
222; Archon; 60; 23; Semi-support; Phantom lancer
223; Crusader; 87; 24; Mid; Witch doctor
224; Guardian; 36; 23; Semi-support; Invoker
225; Archon; 45; 9; Semi-support; Bristleback
226; Crusader; 44; 20; Semi-support; Crystall maiden
227; Herald; 21; 18; Hardlane; Pudge
228; Crusader; 79; 29; Mid; Rikki
229; Legend; 24; 8; Support; Witch doctor
230; Archon; 46; 2; Hardlane; Jakiro
231; Herald; 22; 30; Hardlane; Techies
232; Herald; 43; 27; Semi-support; Techies
233; Crusader; 13; 22; Support; Invoker
234; Guardian; 45; 24; Support; Arc warden
235; Guardian; 61; 16; Semi-support; Jakiro
236; Crusader; 58; 9; Carry; Axe
237; Guardian; 33; 28; Semi-support; Witch doctor
238; Herald; 16; 30; Support; Pudge
239; Ancient; 53; 6; Hardlane; Weaver
240; Guardian; 48; 10; Mid; Techies
241; Ancient; 64; 4; Carry; Witch doctor
242; Archon; 54; 28; Carry; Axe
243; Ancient; 31; 16; Mid; Invoker
244; Ancient; 10; 24; Carry; Arc warden
245; Herald; 86; 24; Carry; Rikki
246; Crusader; 75; 29; Mid; Arc warden
247; Herald; 73; 1; Carry; Rikki
248; Herald; 71; 7; Hardlane; Weaver
249; Archon; 66; 8; Mid; Invoker
250; Ancient; 59; 12; Mid; Techies
251; Archon; 70; 1; Semi-support; Rikki
252; Herald; 13; 22; Mid; Techies
253; Guardian; 32; 23; Mid; Phantom lancer
254; Ancient; 86; 26; Support; Arc warden
255; Crusader; 42; 9; Mid; Bristleback
256; Ancient; 42; 3; Mid; Wraith king
257; Herald; 86; 3; Support; Wraith king
258; Herald; 86; 19; Mid; Bristleback
259; Archon; 28; 30; Support; Axe
260; Archon; 25; 11; Hardlane; Bristleback
261; Archon; 21; 28; Support; Jakiro
262; Herald; 44; 11; Carry; Warlock
263; Archon; 70; 22; Mid; Rikki
264; Legend; 45; 24; Support; Warlock
265; Ancient; 36; 29; Hardlane; Witch doctor
266; Crusader; 11; 18; Hardlane; Bristleback
267; Legend; 59; 23; Hardlane; Witch doctor
268; Ancient; 18; 28; Hardlane; Monkey king
269; Archon; 70; 28; Carry; Bristleback
270; Herald; 22; 2; Mid; Warlock
271; Ancient; 50; 25; Mid; Witch doctor
272; Legend; 35; 15; Hardlane; Wraith king
273; Crusader; 70; 17; Hardlane; Pudge
274; Crusader; 62; 7; Hardlane; Axe
275; Guardian; 63; 20; Hardlane; Phantom lancer
276; Legend; 77; 27; Mid; Crystall maiden
277; Legend; 70; 3; Support; Phantom lancer
278; Ancient; 25; 24; Carry; Witch doctor
279; Ancient; 48; 23; Semi-support; Wraith king
280; Herald; 53; 14; Support; Jakiro
281; Archon; 88; 13; Hardlane; Witch doctor
282; Legend; 18; 27; Hardlane; Monkey king
283; Legend; 13; 18; Carry; Warlock
284; Legend; 22; 18; Mid; Axe
285; Guardian; 39; 1; Carry; Rikki
286; Herald; 22; 3; Carry; Wraith king
287; Ancient; 43; 20; Support; Techies
288; Ancient; 46; 12; Semi-support; Rikki
289; Crusader; 30; 2; Carry; Jakiro
290; Ancient; 49; 30; Support; Rikki
291; Ancient; 12; 28; Semi-support; Pudge
292; Herald; 41; 1; Mid; Rikki
293; Archon; 51; 5; Hardlane; Warlock
294; Herald; 13; 10; Semi-support; Invoker
295; Legend; 63; 2; Hardlane; Arc warden
296; Guardian; 50; 3; Support; Monkey king
297; Ancient; 76; 8; Support; Witch doctor
298; Archon; 20; 12; Carry; Weaver
299; Herald; 21; 25; Hardlane; Witch doctor
300; Ancient; 22; 15; Carry; Phantom lancer
301; Ancient; 25; 17; Semi-support; Rikki
302; Ancient; 22; 12; Support; Bristleback
303; Guardian; 65; 17; Carry; Invoker
304; Legend; 38; 2; Support; Weaver
305; Guardian; 49; 19; Semi-support; Crystall maiden
306; Guardian; 13; 28; Carry; Weaver
307; Archon; 20; 21; Hardlane; Weaver
308; Legend; 24; 30; Support; Jakiro
309; Guardian; 32; 27; Semi-support; Witch doctor
310; Herald; 11; 29; Carry; Techies
311; Herald; 44; 4; Hardlane; Warlock
312; Legend; 89; 8; Hardlane; Axe
313; Guardian; 28; 30; Support; Rikki
314; Guardian; 28; 14; Support; Pudge
315; Legend; 21; 13; Support; Phantom lancer
316; Guardian; 69; 3; Hardlane; Techies
317; Legend; 34; 4; Hardlane; Rikki
318; Herald; 35; 15; Support; Arc warden
319; Herald; 66; 0; Mid; Axe
320; Guardian; 68; 26; Semi-support; Invoker
321; Archon; 45; 12; Carry; Wraith king
322; Legend; 66; 29; Semi-support; Invoker
323; Guardian; 64; 23; Hardlane; Axe
324; Ancient; 16; 11; Mid; Techies
325; Ancient; 82; 7; Mid; Phantom lancer
326; Crusader; 34; 16; Mid; Wraith king
327; Ancient; 42; 25; Carry; Invoker
328; Archon; 30; 7; Hardlane; Monkey king
329; Archon; 73; 23; Support; Bristleback
330; Archon; 29; 26; Mid; Arc warden
331; Legend; 66; 24; Semi-support; Weaver
332; Archon; 12; 26; Mid; Witch doctor
333; Guardian; 54; 15; Mid; Weaver
334; Legend; 79; 24; Semi-support; Jakiro
335; Guardian; 59; 16; Carry; Axe
336; Archon; 83; 24; Hardlane; Monkey king
337; Ancient; 50; 19; Mid; Pudge
338; Ancient; 41; 18; Hardlane; Witch doctor
339; Archon; 45; 10; Hardlane; Witch doctor
340; Archon; 80; 30; Mid; Monkey king
341; Guardian; 33; 4; Carry; Axe
342; Legend; 56; 23; Mid; Phantom lancer
343; Crusader; 79; 10; Semi-support; Pudge
344; Guardian; 28; 0; Hardlane; Axe
345; Ancient; 13; 25; Carry; Axe
346; Herald; 28; 22; Semi-support; Warlock
347; Herald; 63; 11; Semi-support; Invoker
348; Archon; 36; 8; Semi-support; Arc warden
349; Herald; 20; 29; Carry; Invoker
350; Legend; 33; 29; Carry; Techies
351; Ancient; 46; 22; Hardlane; Witch doctor
352; Ancient; 30; 21; Carry; Techies
353; Ancient; 29; 23; Support; Wraith king
354; Crusader; 37; 2; Carry; Wraith king
355; Ancient; 36; 29; Hardlane; Invoker
356; Ancient; 49; 1; Mid; Wraith king
357; Guardian; 62; 26; Carry; Techies
358; Ancient; 80; 3; Hardlane; Monkey king
359; Crusader; 83; 3; Support; Crystall maiden
360; Herald; 40; 15; Mid; Crystall maiden
361; Archon; 14; 12; Hardlane; Rikki
362; Crusader; 68; 23; Hardlane; Rikki
363; Guardian; 69; 17; Carry; Techies
364; Archon; 86; 28; Semi-support; Invoker
365; Guardian; 29; 10; Semi-support; Bristleback
366; Crusader; 49; 9; Semi-support; Pudge
367; Legend; 38; 12; Semi-support; Bristleback
368; Legend; 46; 20; Carry; Jakiro
369; Ancient; 86; 29; Support; Invoker
370; Ancient; 82; 21; Hardlane; Weaver
371; Herald; 10; 21; Carry; Phantom lancer
372; Crusader; 48; 5; Carry; Techies
373; Legend; 41; 9; Semi-support; Warlock
374; Herald; 75; 1; Support; Phantom lancer
375; Ancient; 48; 8; Mid; Arc warden
376; Herald; 39; 16; Carry; Jakiro
377; Guardian; 18; 18; Hardlane; Pudge
378; Herald; 18; 26; Carry; Jakiro
379; Crusader; 28; 1; Mid; Phantom lancer
380; Guardian; 44; 8; Hardlane; Phantom lancer
381; Guardian; 38; 9; Hardlane; Witch doctor
382; Herald; 71; 10; Carry; Techies
383; Archon; 45; 3; Support; Techies
384; Crusader; 58; 0; Carry; Witch doctor
385; Crusader; 19; 1; Semi-support; Phantom lancer
386; Guardian; 51; 4; Semi-support; Arc warden
387; Legend; 50; 6; Hardlane; Bristleback
388; Guardian; 84; 10; Support; Arc warden
389; Herald; 87; 5; Semi-support; Monkey king
390; Archon; 51; 28; Support; Techies
391; Crusader; 48; 5; Carry; Bristleback
392; Ancient; 31; 19; Semi-support; Jakiro
393; Ancient; 16; 16; Hardlane; Bristleback
394; Crusader; 21; 8; Hardlane; Wraith king
395; Herald; 33; 6; Semi-support; Rikki
396; Ancient; 64; 15; Semi-support; Weaver
397; Archon; 12; 16; Support; Witch doctor
398; Herald; 88; 3; Carry; Techies
399; Crusader; 44; 3; Support; Jakiro
400; Archon; 69; 0; Carry; Warlock
401; Legend; 14; 0; Hardlane; Techies
402; Ancient; 67; 13; Mid; Invoker
403; Crusader; 80; 17; Support; Witch doctor
404; Ancient; 14; 2; Hardlane; Crystall maiden
405; Legend; 23; 25; Carry; Wraith king
406; Guardian; 27; 11; Mid; Techies
407; Herald; 62; 6; Carry; Invoker
408; Crusader; 78; 18; Mid; Bristleback
409; Legend; 41; 22; Semi-support; Rikki
410; Guardian; 79; 24; Carry; Crystall maiden
411; Crusader; 63; 10; Hardlane; Axe
412; Ancient; 64; 8; Carry; Jakiro
413; Crusader; 83; 20; Hardlane; Phantom lancer
414; Guardian; 30; 15; Hardlane; Invoker
415; Legend; 81; 25; Support; Wraith king
416; Archon; 61; 1; Mid; Monkey king
417; Crusader; 69; 26; Semi-support; Phantom lancer
418; Archon; 52; 25; Semi-support; Techies
419; Herald; 67; 22; Carry; Crystall maiden
420; Herald; 13; 2; Support; Warlock
421; Legend; 60; 4; Semi-support; Weaver
422; Guardian; 23; 27; Mid; Crystall maiden
423; Herald; 82; 11; Mid; Phantom lancer
424; Crusader; 37; 2; Mid; Phantom lancer
425; Ancient; 71; 5; Semi-support; Crystall maiden
426; Herald; 66; 26; Carry; Invoker
427; Legend; 81; 12; Semi-support; Pudge
428; Ancient; 84; 8; Mid; Axe
429; Guardian; 44; 15; Mid; Axe
430; Ancient; 86; 2; Semi-support; Crystall maiden
431; Legend; 21; 8; Support; Arc warden
432; Ancient; 47; 20; Support; Weaver
433; Legend; 55; 16; Support; Wraith king
434; Ancient; 31; 4; Hardlane; Rikki
435; Ancient; 81; 24; Support; Rikki
436; Legend; 80; 27; Support; Techies
437; Archon; 36; 17; Mid; Wraith king
438; Legend; 39; 10; Support; Techies
439; Guardian; 68; 21; Support; Invoker
440; Crusader; 50; 28; Semi-support; Arc warden
441; Guardian; 90; 19; Mid; Axe
442; Archon; 85; 26; Semi-support; Crystall maiden
443; Archon; 35; 21; Mid; Arc warden
444; Ancient; 20; 4; Support; Techies
445; Crusader; 14; 8; Semi-support; Monkey king
446; Crusader; 15; 10; Support; Pudge
447; Legend; 81; 19; Semi-support; Warlock
448; Ancient; 49; 22; Support; Rikki
449; Crusader; 38; 10; Mid; Techies
450; Crusader; 13; 11; Carry; Bristleback
451; Herald; 80; 19; Mid; Weaver
452; Ancient; 43; 30; Carry; Jakiro
453; Archon; 90; 29; Support; Monkey king
454; Legend; 61; 17; Carry; Weaver
455; Archon; 42; 28; Hardlane; Axe
456; Crusader; 75; 15; Carry; Bristleback
457; Guardian; 29; 25; Carry; Jakiro
458; Ancient; 60; 0; Support; Techies
459; Legend; 81; 6; Hardlane; Wraith king
460; Archon; 37; 22; Hardlane; Rikki
461; Guardian; 60; 19; Carry; Pudge
462; Archon; 38; 29; Hardlane; Arc warden
463; Herald; 87; 13; Support; Rikki
464; Crusader; 74; 0; Hardlane; Invoker
465; Ancient; 43; 25; Carry; Wraith king
466; Guardian; 64; 13; Support; Techies
467; Crusader; 74; 6; Carry; Crystall maiden
468; Legend; 29; 12; Carry; Techies
469; Guardian; 19; 22; Support; Wraith king
470; Archon; 70; 8; Hardlane; Pudge
471; Herald; 38; 25; Hardlane; Arc warden
472; Ancient; 55; 29; Support; Phantom lancer
473; Herald; 51; 2; Mid; Crystall maiden
474; Guardian; 86; 18; Hardlane; Phantom lancer
475; Archon; 67; 12; Semi-support; Jakiro
476; Legend; 75; 1; Hardlane; Invoker
477; Guardian; 62; 28; Semi-support; Jakiro
478; Legend; 71; 26; Semi-support; Warlock
479; Legend; 29; 16; Carry; Wraith king
480; Ancient; 35; 28; Semi-support; Wraith king
481; Ancient; 32; 8; Semi-support; Phantom lancer
482; Crusader; 77; 13; Semi-support; Warlock
483; Ancient; 34; 16; Hardlane; Wraith king
484; Guardian; 53; 24; Semi-support; Arc warden
485; Guardian; 73; 9; Semi-support; Wraith king
486; Ancient; 71; 27; Mid; Bristleback
487; Herald; 14; 17; Carry; Monkey king
488; Ancient; 16; 0; Hardlane; Invoker
489; Archon; 56; 25; Carry; Wraith king
490; Ancient; 53; 15; Mid; Jakiro
491; Crusader; 16; 21; Mid; Pudge
492; Crusader; 51; 13; Hardlane; Witch doctor
493; Ancient; 18; 24; Hardlane; Techies
494; Guardian; 40; 26; Hardlane; Monkey king
495; Archon; 23; 11; Support; Phantom lancer
496; Herald; 31; 4; Support; Rikki
497; Legend; 29; 17; Carry; Bristleback
498; Archon; 75; 26; Semi-support; Bristleback
499; Legend; 11; 17; Support; Crystall maiden
500; Legend; 85; 5; Hardlane; Rikki
501; Archon; 41; 19; Carry; Axe
502; Archon; 24; 3; Semi-support; Pudge
503; Herald; 84; 21; Carry; Pudge
504; Herald; 19; 21; Hardlane; Invoker
505; Crusader; 22; 23; Mid; Witch doctor
506; Ancient; 44; 16; Support; Wraith king
507; Guardian; 54; 9; Support; Weaver
508; Crusader; 85; 25; Carry; Phantom lancer
509; Archon; 40; 16; Support; Witch doctor
510; Legend; 82; 25; Carry; Arc warden
511; Guardian; 39; 11; Hardlane; Monkey king
512; Archon; 17; 7; Semi-support; Warlock
513; Guardian; 33; 0; Mid; Weaver
514; Legend; 28; 15; Carry; Arc warden
515; Legend; 28; 22; Mid; Crystall maiden
516; Archon; 63; 17; Semi-support; Wraith king
517; Herald; 22; 15; Hardlane; Witch doctor
518; Herald; 73; 20; Support; Techies
519; Guardian; 71; 2; Mid; Weaver
520; Crusader; 22; 28; Semi-support; Techies
521; Crusader; 45; 26; Hardlane; Witch doctor
522; Archon; 23; 13; Carry; Wraith king
523; Guardian; 43; 26; Semi-support; Phantom lancer
524; Legend; 66; 28; Support; Techies
525; Ancient; 13; 27; Mid; Phantom lancer
526; Archon; 31; 4; Mid; Axe
527; Archon; 29; 1; Carry; Techies
528; Archon; 57; 29; Carry; Crystall maiden
529; Legend; 37; 16; Support; Invoker
530; Crusader; 76; 12; Hardlane; Warlock
531; Guardian; 61; 3; Carry; Pudge
532; Herald; 75; 4; Mid; Warlock
533; Herald; 67; 9; Support; Bristleback
534; Guardian; 12; 19; Semi-support; Rikki
535; Ancient; 46; 24; Hardlane; Crystall maiden
536; Legend; 88; 27; Semi-support; Monkey king
537; Legend; 73; 1; Support; Monkey king
538; Herald; 54; 19; Semi-support; Axe
539; Guardian; 42; 15; Semi-support; Weaver
540; Ancient; 72; 20; Support; Pudge
541; Archon; 76; 27; Carry; Wraith king
542; Crusader; 87; 18; Semi-support; Weaver
543; Archon; 20; 18; Hardlane; Bristleback
544; Guardian; 67; 30; Hardlane; Axe
545; Guardian; 37; 28; Mid; Weaver
546; Archon; 38; 10; Hardlane; Pudge
547; Guardian; 84; 16; Semi-support; Bristleback
548; Herald; 52; 2; Carry; Wraith king
549; Crusader; 62; 15; Carry; Pudge
550; Legend; 61; 26; Carry; Techies
551; Legend; 26; 17; Carry; Jakiro
552; Archon; 31; 30; Carry; Rikki
553; Herald; 51; 8; Semi-support; Axe
554; Herald; 38; 0; Carry; Monkey king
555; Crusader; 73; 11; Mid; Crystall maiden
556; Crusader; 63; 9; Semi-support; Jakiro
557; Crusader; 87; 2; Mid; Pudge
558; Legend; 63; 17; Carry; Bristleback
559; Legend; 56; 30; Carry; Axe
560; Legend; 25; 13; Mid; Warlock
561; Herald; 74; 27; Carry; Bristleback
562; Herald; 61; 14; Carry; Warlock
563; Crusader; 58; 14; Mid; Bristleback
564; Archon; 89; 26; Semi-support; Pudge
565; Crusader; 36; 16; Hardlane; Monkey king
566; Crusader; 76; 11; Hardlane; Pudge
567; Legend; 23; 0; Support; Weaver
568; Herald; 24; 12; Hardlane; Axe
569; Archon; 15; 7; Mid; Axe
570; Ancient; 83; 6; Semi-support; Monkey king
571; Guardian; 82; 13; Carry; Weaver
572; Herald; 17; 1; Mid; Arc warden
573; Guardian; 28; 17; Semi-support; Invoker
574; Ancient; 14; 17; Support; Crystall maiden
575; Crusader; 60; 14; Hardlane; Warlock
576; Crusader; 23; 26; Hardlane; Monkey king
577; Herald; 89; 18; Hardlane; Warlock
578; Crusader; 43; 21; Carry; Monkey king
579; Guardian; 63; 15; Mid; Techies
580; Herald; 89; 18; Support; Monkey king
581; Crusader; 57; 7; Support; Arc warden
582; Herald; 47; 13; Carry; Monkey king
583; Ancient; 84; 6; Semi-support; Invoker
584; Legend; 56; 26; Support; Rikki
585; Crusader; 65; 19; Hardlane; Jakiro
586; Guardian; 53; 2; Carry; Invoker
587; Herald; 27; 9; Mid; Jakiro
588; Crusader; 43; 3; Support; Weaver
589; Ancient; 34; 28; Hardlane; Techies
590; Legend; 44; 13; Support; Rikki
591; Herald; 19; 15; Mid; Crystall maiden
592; Ancient; 23; 18; Hardlane; Techies
593; Herald; 64; 27; Hardlane; Axe
594; Crusader; 69; 16; Semi-support; Bristleback
595; Ancient; 18; 9; Mid; Crystall maiden
596; Ancient; 51; 7; Mid; Invoker
597; Legend; 59; 5; Carry; Weaver
598; Herald; 19; 8; Mid; Invoker
599; Ancient; 49; 11; Carry; Techies
600; Herald; 74; 26; Semi-support; Warlock
601; Guardian; 38; 30; Mid; Warlock
602; Guardian; 54; 30; Support; Bristleback
603; Archon; 32; 28; Support; Jakiro
604; Archon; 66; 2; Carry; Crystall maiden
605; Crusader; 22; 24; Mid; Phantom lancer
606; Archon; 69; 25; Mid; Crystall maiden
607; Herald; 27; 5; Semi-support; Crystall maiden
608; Ancient; 31; 4; Support; Pudge
609; Archon; 14; 29; Carry; Pudge
610; Crusader; 85; 21; Mid; Pudge
611; Ancient; 51; 0; Support; Arc warden
612; Ancient; 25; 7; Carry; Wraith king
613; Herald; 84; 18; Semi-support; Wraith king
